gene,importance
PECAM1,0.0008875587932892261
COL1A1,0.0008798900302735613
JCHAIN,0.0008735190303784744
DEF6,0.0008705107626008427
ITGA4,0.0008679278145247573
TNFSF10,0.0008679092594202746
MYL9,0.0008568310009602583
CRISP3,0.0008510995974400182
SCGB2A2,0.0008467403444518252
HTRA1,0.0008453730173470464
H2AFJ,0.0008433201307373417
MT-ND4L,0.0008356446328787872
GFRA1,0.0008322000910780189
MSN,0.0008318751961008085
MS4A7,0.0008241126507236899
SPOCK2,0.0008241039961218346
COL1A2,0.0008224621630899168
ANXA1,0.0008087535892127964
JAK1,0.0008075451629774553
NBL1,0.0008051712079287202
TSPAN4,0.0008023501654677713
UGCG,0.0007985643713254779
EFEMP1,0.0007963379238872484
CYP1B1,0.000789551269348941
ZYX,0.0007887967785358476
FMNL1,0.0007882284938594274
PLTP,0.0007669934056576319
MFGE8,0.0007539349496409448
RARRES1,0.0007538494570062065
MX1,0.000741571951252065
SELL,0.0007400418716790793
IKZF3,0.000739319276558215
FBLN2,0.0007321354222271657
SNCG,0.0007314329268819833
TMEM173,0.0007273270758759944
COL18A1,0.0007242766255015192
AKR1B1,0.0007222628017461505
TRIM22,0.0007209070946157022
SERHL2,0.0007181974632844639
TAGLN,0.000716907520029715
SPARC,0.0007144381658158404
MMP2,0.0007025927997553189
ZEB2,0.0006970957342574845
ZFP36,0.000696425320139034
CFH,0.000690775431186199
S100A9,0.0006893974475351842
VCAN,0.0006858660787532473
ENG,0.0006854588082896804
PCOLCE,0.0006823991085912106
CMTM3,0.000667870400035129
PSTPIP1,0.0006633461076001707
MUC5B,0.0006629714565679563
AL627171.2,0.000661519019703301
GPX3,0.0006610661461473274
CHI3L1,0.0006589723640265126
SLC43A2,0.0006521736663591899
EGFL7,0.000651907148343884
TCF4,0.0006466342305668351
PLXNC1,0.0006455046140009312
MBD3,0.0006443585712047602
AGPAT2,0.0006420405898671528
PCED1B,0.0006413647211008243
FCER1G,0.0006344686186414499
COL3A1,0.0006306953785627603
CLEC2D,0.0006282982751019977
